                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.15041,                0.12119,                0.77473,                0.99839,                0.99848,                  0.995,                  0.995,                0.13556,                0.19265,                0.62612,              0.0091882,              0.0091882,              0.0091882
                     85,                0.15304,                0.12172,                0.77031,                0.99401,                0.99543,                0.99342,                0.99342,                0.15114,                0.22606,                0.62679,              0.0091783,              0.0091783,              0.0091783
                     86,                0.15506,                0.11846,                0.77198,                0.99803,                0.99848,                0.99491,                0.99491,                0.15624,                0.24354,                 0.6278,              0.0091684,              0.0091684,              0.0091684
                     87,                0.15343,                 0.1216,                0.77851,                0.99992,                      1,                  0.995,                0.99448,                0.17314,                0.22481,                0.62842,              0.0091585,              0.0091585,              0.0091585
                     88,                0.14828,                0.12059,                0.76493,                0.99992,                      1,                  0.995,                  0.995,                 0.1376,                0.20898,                0.62753,              0.0091486,              0.0091486,              0.0091486
                     89,                0.15775,                0.12314,                0.77404,                 0.9984,                0.99848,                  0.995,                0.99498,                0.13536,                0.20845,                0.62666,              0.0091387,              0.0091387,              0.0091387
                     90,                0.15579,                0.12528,                0.77172,                0.99685,                0.99695,                0.99442,                0.99424,                0.12459,                0.19319,                0.62589,              0.0091288,              0.0091288,              0.0091288
                     91,                0.15196,                0.12207,                0.77466,                 0.9984,                0.99848,                0.99471,                0.99456,                0.14131,                0.21478,                0.62643,              0.0091189,              0.0091189,              0.0091189
                     92,                0.15465,                0.12429,                0.77218,                0.99839,                0.99848,                  0.995,                  0.995,                0.12712,                 0.2047,                0.62622,               0.009109,               0.009109,               0.009109
                     93,                0.15455,                0.12745,                0.77284,                0.99687,                0.99695,                0.99486,                0.99486,                0.14163,                0.21674,                0.62642,              0.0090991,              0.0090991,              0.0090991
